time,latitude,longitude,depth,mag,place
1960-05-22,-38.061,-73.039,25.0,8.6,"Araucania, Chile"
1960-05-22,-38.143,-73.407,25.0,9.6,"Bio-Bio, Chile"
1960-05-23,-38.543,-73.866,20.0,6.5,"offshore Araucania, Chile"
1960-05-23,-41.579,-73.367,25.0,6.2,"Los Lagos, Chile"
1960-05-23,-43.100,-75.287,20.0,6.2,"offshore Los Lagos, Chile"
1960-05-23,-38.162,-72.691,25.0,6.4,"Araucania, Chile"
1960-05-23,-48.089,-75.698,20.0,6.1,"near the coast of Aisen, Chile"
1960-05-23,-37.859,-73.152,25.0,6.2,"Bio-Bio, Chile"
1960-05-23,-43.642,-73.613,20.0,6.1,"Golfo de Corcovado, Los Lagos, Chile"
1960-05-24,-50.880,-73.157,15.0,6.0,southern Chile-Argentina border region
1960-05-25,-44.808,-75.985,20.0,6.7,"off the coast of Aisen, Chile"
1960-05-28,-37.713,-72.770,25.0,6.0,"Araucania, Chile"
1960-05-29,-37.689,-72.436,25.0,6.3,"Bio-Bio, Chile"
1960-05-31,-39.649,-75.612,15.0,6.0,"off the coast of Los Lagos, Chile"
1960-06-01,-37.895,-73.014,35.0,6.1,"Araucania, Chile"
1960-06-02,-46.215,-74.058,15.0,6.1,"Aisen, Chile"
1960-06-06,-45.785,-72.889,15.0,7.8,"Aisen, Chile"
1960-06-20,-38.154,-72.917,25.0,7.0,"Araucania, Chile"
1960-06-20,-39.071,-72.813,25.0,6.9,"Araucania, Chile"
1960-06-29,-42.904,-73.836,25.0,6.1,"Isla Chiloe, Los Lagos, Chile"
1960-07-27,-44.735,-76.121,20.0,6.1,"off the coast of Aisen, Chile"
1960-08-13,-39.964,-74.783,25.0,6.7,"offshore Los Lagos, Chile"
1960-10-30,-23.483,-70.265,35.0,6.2,"Antofagasta, Chile"
1960-11-01,-38.467,-75.031,20.0,7.4,"off the coast of Araucania, Chile"
1960-11-09,-23.266,-70.372,35.0,6.2,"Antofagasta, Chile"
1960-11-22,-40.134,-74.788,20.0,6.2,"offshore Los Lagos, Chile"
1960-11-29,-44.089,-76.018,20.0,6.0,"off the coast of Aisen, Chile"
1960-12-02,-24.732,-70.297,35.0,7.3,"Antofagasta, Chile"
1960-12-06,-21.404,-69.694,49.6,6.1,"Tarapaca, Chile"
1960-12-29,-44.858,-76.148,25.0,6.3,"off the coast of Aisen, Chile"
1960-12-31,-44.218,-75.618,20.0,6.0,"off the coast of Aisen, Chile"
1961-04-08,-38.258,-72.800,25.0,6.2,"Araucania, Chile"
1961-05-11,-37.439,-72.848,25.0,6.1,"Bio-Bio, Chile"
1961-09-13,-41.722,-75.576,20.0,6.0,"off the coast of Los Lagos, Chile"
1961-10-18,-36.738,-73.238,20.0,6.6,"offshore Bio-Bio, Chile"
1961-12-09,-43.789,-75.840,25.0,6.7,"off the coast of Los Lagos, Chile"
1961-12-24,-38.240,-73.880,25.0,6.1,"offshore Bio-Bio, Chile"
1962-02-14,-37.845,-72.885,30.0,7.1,"Araucania, Chile"
1962-02-27,-37.732,-73.053,25.0,6.2,"Bio-Bio, Chile"
1962-03-26,-40.532,-73.986,30.9,6.2,"offshore Los Lagos, Chile"
1962-08-03,-23.167,-67.914,124.8,6.8,"Antofagasta, Chile"
1962-09-29,-27.089,-63.311,573.0,6.4,"Santiago Del Estero, Argentina"
1962-11-04,-43.271,-75.762,20.0,6.1,"off the coast of Los Lagos, Chile"
1962-11-11,-43.198,-75.773,20.0,6.1,"off the coast of Los Lagos, Chile"
1962-12-08,-25.802,-63.210,588.7,7.2,"Santiago Del Estero, Argentina"
1962-12-29,-20.105,-69.927,50.0,6.2,"Tarapaca, Chile"
1963-01-11,-45.001,-75.910,15.0,6.0,"off the coast of Aisen, Chile"
1963-02-05,-38.437,-73.443,25.0,6.4,"Araucania, Chile"
1963-02-06,-38.459,-73.465,25.0,6.0,"Araucania, Chile"
1963-03-07,-44.267,-76.223,19.2,6.2,"off the coast of Aisen, Chile"
1963-05-18,-29.637,-68.819,15.0,6.0,"San Juan, Argentina"
1963-05-19,-46.483,-75.252,15.0,6.4,"near the coast of Aisen, Chile"
1963-08-15,-13.866,-69.414,550.0,7.7,southern Peru
1963-08-27,-45.936,-76.572,15.0,6.1,"off the coast of Aisen, Chile"
1963-12-03,-22.691,-69.962,35.0,6.3,"Antofagasta, Chile"
